Nr;Bezeichnung;G0G1_48h_1;G0G1_48h_2;G0G1_48h_3;G0G1_48h_4;G0G1_48h_5;G0G1_48h_6
1;Ko;58,99;63,24;59,11;49,31;53,07;57,17
2;LU;61,68;65,64;63,19;56,27;56,1;57,83
3;Cet;62,72;65,91;63,98;53,66;56,85;70,06
4;Tra;62,73;65,76;62,77;51,69;56,76;64,1
5;Cet  Tra;63,07;70,72;67,99;58,31;63,93;69,29
6;All;64,49;66,98;69,36;62,68;64,1;68,32
7;Full;58,19;61,88;59;49,15;51,66;59,57
8;Her2;64,55;69,51;65,02;63,57;65,46;67,8
9;Full  Her2;64,06;61,49;60,06;55,2;56,06;62,93
10;All  Her2;60,53;62,94;59,85;61,67;59,63;62,53