cell;Behandlung;D20092011;D10042012;D23042012;D24042012;D15042012
SF767;K;1840200;1583000;1417200;1232400;1703800
SF767;Lu;1669000;1425000;1409600;1218000;1631000
SF767;Cet;2082000;1285000;1477600;1188200;1537400
SF767;Tra;2100000;1180000;1617400;1327800;1708400
SF767;Cet Tra;1705400;1232000;1290400;1143400;1273000
SF767;All;1662400;1232000;1361600;1105800;1365200
SF767;Full;2174000;1277000;1319600;1105000;1613200
SF767;Her2;1628000;1225000;1137800;798200;1440200
SF767;Full Her2;1337400;874800;750000;483600;903400
SF767;All Her2;1433000;852900;695000;629600;1154400